NR_REF;POSTO_GRADUACAO;QUADRO;RACA
436;MAJ     ;QOPM;PARDO     
437;MAJ     ;QOPM;BRANCO    
438;MAJ     ;QOPM;AMARELO   
439;MAJ     ;QOPM;PARDO     
440;MAJ     ;QOPM;PARDO     
441;MAJ     ;QOPM;BRANCO    
442;MAJ     ;QOPM;BRANCO    
443;MAJ     ;QOPM;PARDO     
444;MAJ     ;QOPM;BRANCO    
445;MAJ     ;QOPM;PARDO     
446;MAJ     ;QOPM;PARDO     
447;MAJ     ;QOPM;BRANCO    
448;MAJ     ;QOPM;BRANCO    
449;MAJ     ;QOPM;PRETO     
450;MAJ     ;QOPM;BRANCO    
451;MAJ     ;QOPM;PARDO     
452;MAJ     ;QOPM;BRANCO    
453;MAJ     ;QOPM;BRANCO    
454;MAJ     ;QOPM;BRANCO    
455;MAJ     ;QOPM;PARDO     
456;MAJ     ;QOPM;BRANCO    
457;MAJ     ;QOPM;PARDO     
458;MAJ     ;QOPM;BRANCO    
459;MAJ     ;QOPM;BRANCO    
460;MAJ     ;QOPM;PRETO     
461;MAJ     ;QOPM;AMARELO   
462;MAJ     ;QOPM;BRANCO    
463;MAJ     ;QOPM;PRETO     
464;MAJ     ;QOPM;AMARELO   
465;MAJ     ;QOPM;PARDO     
466;MAJ     ;QOPM;BRANCO    
467;MAJ     ;QOPM;NAO INF.  
468;MAJ     ;QOPM;BRANCO    
469;MAJ     ;QOPM;BRANCO    
470;MAJ     ;QOPM;BRANCO    
471;MAJ     ;QOPM;BRANCO    
472;MAJ     ;QOPM;BRANCO    
473;MAJ     ;QOPM;BRANCO    
474;MAJ     ;QOPM;BRANCO    
475;MAJ     ;QOPM;BRANCO    
476;MAJ     ;QOPM;BRANCO    
477;MAJ     ;QOPM;BRANCO    
478;MAJ     ;QOPM;BRANCO    
479;MAJ     ;QOPM;PRETO     
480;MAJ     ;QOPM;BRANCO    
481;MAJ     ;QOPM;BRANCO    
482;MAJ     ;QOPM;PARDO     
483;MAJ     ;QOPM;BRANCO    
484;MAJ     ;QOPM;BRANCO    
485;MAJ     ;QOPM;PARDO     
486;MAJ     ;QOPM;PARDO     
487;MAJ     ;QOPM;BRANCO    
488;MAJ     ;QOPM;BRANCO    
489;MAJ     ;QOPM;BRANCO    
490;MAJ     ;QOPM;BRANCO    
491;MAJ     ;QOPM;PARDO     
492;MAJ     ;QOPM;NAO INF.  
493;MAJ     ;QOPM;BRANCO    
494;MAJ     ;QOPM;PRETO     
495;MAJ     ;QOPM;BRANCO    
496;MAJ     ;QOPM;PARDO     
497;MAJ     ;QOPM;BRANCO    
498;MAJ     ;QOPM;BRANCO    
499;MAJ     ;QOPM;NAO INF.  
500;MAJ     ;QOPM;NAO INF.  
501;MAJ     ;QOPM;BRANCO    
502;MAJ     ;QOPM;NAO INF.  
503;MAJ     ;QOS ;NAO INF.  
504;MAJ     ;QOS ;PARDO     
505;MAJ     ;QOS ;BRANCO    
506;MAJ     ;QOS ;BRANCO    
507;MAJ     ;QOS ;BRANCO    
508;MAJ     ;QOS ;BRANCO    
509;MAJ     ;QOS ;PARDO     
510;MAJ     ;QOS ;PARDO     
511;MAJ     ;QOS ;BRANCO    
512;MAJ     ;QOS ;BRANCO    
513;MAJ     ;QOS ;PARDO     
514;MAJ     ;QOPM;BRANCO    
515;MAJ     ;QOPM;BRANCO    
516;MAJ     ;QOPM;BRANCO    
517;MAJ     ;QOPM;PRETO     
518;MAJ     ;QOPM;PARDO     
519;MAJ     ;QOPM;BRANCO    
520;MAJ     ;QOPM;PARDO     
521;MAJ     ;QOPM;PARDO     
522;MAJ     ;QOPM;BRANCO    
523;MAJ     ;QOPM;BRANCO    
524;MAJ     ;QOPM;BRANCO    
525;MAJ     ;QOPM;BRANCO    
526;MAJ     ;QOPM;BRANCO    
527;MAJ     ;QOPM;BRANCO    
528;MAJ     ;QOPM;PARDO     
529;MAJ     ;QOPM;BRANCO    
530;MAJ     ;QOPM;PARDO     
531;MAJ     ;QOPM;PARDO     
532;MAJ     ;QOPM;BRANCO    
533;MAJ     ;QOPM;BRANCO    
534;MAJ     ;QOPM;PARDO     
535;MAJ     ;QOPM;BRANCO    
536;MAJ     ;QOPM;BRANCO    
537;MAJ     ;QOPM;BRANCO    
538;MAJ     ;QOPM;BRANCO    
539;MAJ     ;QOPM;BRANCO    
540;MAJ     ;QOPM;PARDO     
541;MAJ     ;QOPM;BRANCO    
542;MAJ     ;QOPM;PARDO     
543;MAJ     ;QOPM;PARDO     
544;MAJ     ;QOPM;PARDO     
545;MAJ     ;QOPM;PARDO     
546;MAJ     ;QOPM;BRANCO    
547;MAJ     ;QOS ;PARDO     
548;MAJ     ;QOS ;BRANCO    
549;MAJ     ;QOS ;BRANCO    
550;MAJ     ;QOS ;BRANCO    
551;MAJ     ;QOS ;PARDO     
552;MAJ     ;QOS ;BRANCO    
553;MAJ     ;QOS ;BRANCO    
554;MAJ     ;QOS ;BRANCO    
555;MAJ     ;QOS ;BRANCO    
556;MAJ     ;QOS ;BRANCO    
557;MAJ     ;QOPM;PARDO     
558;MAJ     ;QOPM;PARDO     
559;MAJ     ;QOPM;BRANCO    
560;MAJ     ;QOPM;AMARELO   
561;MAJ     ;QOPM;BRANCO    
562;MAJ     ;QOPM;BRANCO    
563;MAJ     ;QOPM;BRANCO    
564;MAJ     ;QOPM;PARDO     
565;MAJ     ;QOPM;BRANCO    
566;MAJ     ;QOPM;PARDO     
567;MAJ     ;QOPM;BRANCO    
568;MAJ     ;QOPM;PARDO     
569;MAJ     ;QOPM;PARDO     
570;MAJ     ;QOPM;PARDO     
571;MAJ     ;QOPM;PRETO     
572;MAJ     ;QOPM;BRANCO    
573;MAJ     ;QOPM;BRANCO    
574;MAJ     ;QOPM;BRANCO    
575;MAJ     ;QOPM;BRANCO    
576;MAJ     ;QOPM;PARDO     
577;MAJ     ;QOPM;BRANCO    
578;MAJ     ;QOPM;PARDO     
579;MAJ     ;QOPM;BRANCO    
580;MAJ     ;QOPM;PARDO     
581;MAJ     ;QOPM;BRANCO    
582;MAJ     ;QOPM;PARDO     
583;MAJ     ;QOPM;BRANCO    
584;MAJ     ;QOPM;BRANCO    
585;MAJ     ;QOPM;BRANCO    
586;MAJ     ;QOPM;PARDO     
587;MAJ     ;QOPM;BRANCO    
